phase,command,sweep_dir,sweep_index,t_ms,rel_steps,as5600_raw_mean,as5600_raw_std,as5600_deg_wrapped,as5600_deg_unwrapped,iphone_theta_deg,driver_enabled,forward_sign,lower_valid,upper_valid
endpoint,L,endpoint,0,90484,0,3913.0,0.0,343.91601,343.91601,3.1,1,-1,1,0
endpoint,U,endpoint,0,122521,0,3338.735,0.442,293.44348,293.44348,0.7,1,-1,1,1
sweep,N,forward,0,150018,-8,3347.0,0.0,294.16992,294.16992,0.7,1,-1,1,1
sweep,N,forward,1,155115,-16,3357.0,0.0,295.04882,295.04882,0.7,1,-1,1,1
sweep,N,forward,2,159135,-24,3368.0,0.0,296.01562,296.01562,0.6,1,-1,1,1
sweep,N,forward,3,165097,-32,3378.953,0.211,296.9783,296.9783,0.5,1,-1,1,1
sweep,N,forward,4,168764,-40,3388.0,0.0,297.77343,297.77343,0.5,1,-1,1,1
sweep,N,forward,5,172169,-48,3397.047,0.211,298.5686,298.5686,0.4,1,-1,1,1
sweep,N,forward,6,176136,-56,3408.422,0.494,299.56835,299.56835,0.4,1,-1,1,1
sweep,N,forward,7,181625,-64,3419.0,0.0,300.49804,300.49804,0.3,1,-1,1,1
sweep,N,forward,8,185588,-72,3428.047,0.211,301.29321,301.29321,0.2,1,-1,1,1
sweep,N,forward,9,189082,-80,3438.0,0.0,302.16796,302.16796,0.2,1,-1,1,1
sweep,N,forward,10,193220,-88,3449.0,0.0,303.13476,303.13476,0.1,1,-1,1,1
sweep,N,forward,11,196743,-96,3460.0,0.0,304.10156,304.10156,0.0,1,-1,1,1
sweep,N,forward,12,201159,-104,3469.0,0.0,304.89257,304.89257,0.1,1,-1,1,1
sweep,N,forward,13,206115,-112,3479.0,0.0,305.77148,305.77148,0.1,1,-1,1,1
sweep,N,forward,14,210658,-120,3490.0,0.0,306.73828,306.73828,0.2,1,-1,1,1
sweep,N,forward,15,215311,-128,3501.0,0.0,307.70507,307.70507,0.2,1,-1,1,1
sweep,N,forward,16,220211,-136,3510.781,0.413,308.56475,308.56475,0.3,1,-1,1,1
sweep,N,forward,17,225156,-144,3520.0,0.0,309.375,309.375,0.4,1,-1,1,1
sweep,N,forward,18,229547,-152,3531.891,0.312,310.42007,310.42007,0.5,1,-1,1,1
sweep,N,forward,19,233552,-160,3542.016,0.124,311.30999,311.30999,0.6,1,-1,1,1
sweep,N,forward,20,237929,-168,3552.0,0.0,312.1875,312.1875,0.6,1,-1,1,1
sweep,N,forward,21,243509,-176,3561.187,0.39,312.99496,312.99496,0.7,1,-1,1,1
