t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags
349,SAFE_DISABLED,-0.1907,-0.2148,0.0879,0.0,0.0,0
449,SAFE_DISABLED,-0.1907,-0.2097,0.0879,0.0,0.0,0
549,SAFE_DISABLED,-0.225,-0.2025,0.0879,0.0,0.0,0
649,SAFE_DISABLED,-0.225,-0.214,0.0879,0.0,0.0,0
749,SAFE_DISABLED,-0.225,-0.2213,0.0879,0.0,0.0,0
849,SAFE_DISABLED,-0.225,-0.2232,0.0879,0.0,0.0,0
949,SAFE_DISABLED,-0.225,-0.2244,0.0879,0.0,0.0,0
1049,SAFE_DISABLED,-0.225,-0.2247,0.0879,0.0,0.0,0
1149,SAFE_DISABLED,-0.225,-0.2249,0.0879,0.0,0.0,0
1249,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
1349,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
1449,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
1549,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
1649,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
1750,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
1850,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
1950,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
2050,SAFE_DISABLED,-0.1564,-0.2045,0.0879,0.0,0.0,0
2150,SAFE_DISABLED,-0.1564,-0.1729,0.0879,0.0,0.0,0
2254,SAFE_DISABLED,-0.225,-0.1827,0.0879,0.0,0.0,0
2354,SAFE_DISABLED,-0.225,-0.2043,0.0879,0.0,0.0,0
2455,SAFE_DISABLED,-0.225,-0.2179,0.0879,0.0,0.0,0
2555,SAFE_DISABLED,-0.225,-0.2216,0.0879,0.0,0.0,0
2655,SAFE_DISABLED,-0.225,-0.2238,0.0879,0.0,0.0,0
2756,SAFE_DISABLED,-0.225,-0.2245,0.0879,0.0,0.0,0
2856,SAFE_DISABLED,-0.225,-0.2248,0.0879,0.0,0.0,0
2956,SAFE_DISABLED,-0.225,-0.2249,0.0879,0.0,0.0,0
3056,SAFE_DISABLED,-0.1564,-0.2044,0.0879,0.0,0.0,0
3158,SAFE_DISABLED,-0.1564,-0.18,0.0879,0.0,0.0,0
3258,SAFE_DISABLED,-0.1564,-0.1645,0.0879,0.0,0.0,0
3358,SAFE_DISABLED,-0.1564,-0.1604,0.0879,0.0,0.0,0
3458,SAFE_DISABLED,-0.225,-0.1784,0.0879,0.0,0.0,0
3558,SAFE_DISABLED,-0.225,-0.2022,0.0879,0.0,0.0,0
3658,SAFE_DISABLED,-0.225,-0.2172,0.0879,0.0,0.0,0
3758,SAFE_DISABLED,-0.225,-0.2212,0.0879,0.0,0.0,0
3858,SAFE_DISABLED,-0.225,-0.2237,0.0879,0.0,0.0,0
3958,SAFE_DISABLED,-0.225,-0.2244,0.0879,0.0,0.0,0
4058,SAFE_DISABLED,-0.225,-0.2248,0.0879,0.0,0.0,0
4158,SAFE_DISABLED,-0.225,-0.2249,0.0879,0.0,0.0,0
4258,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
4358,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
4458,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
4558,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
4658,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
4758,SAFE_DISABLED,-0.225,-0.225,0.0879,0.0,0.0,0
4858,SAFE_DISABLED,-0.225,-0.225,-0.4131,0.0,0.0,0
4958,SAFE_DISABLED,-0.225,-0.225,-1.3856,0.0,0.0,0
5058,SAFE_DISABLED,-0.225,-0.225,-1.549,0.0,0.0,0
5158,SAFE_DISABLED,-0.225,-0.225,-1.5765,0.0,0.0,0
5258,SAFE_DISABLED,-0.1564,-0.2045,-1.5811,0.0,0.0,0
5358,SAFE_DISABLED,-0.1564,-0.18,-1.5819,0.0,0.0,0
5458,SAFE_DISABLED,0.1866,0.0104,-1.582,0.0,0.0,0
5558,SAFE_DISABLED,0.1866,0.1003,-1.582,0.0,0.0,0
5658,SAFE_DISABLED,0.1866,0.157,-1.582,0.0,0.0,0
5758,SAFE_DISABLED,0.1866,0.1721,-1.582,0.0,0.0,0
5858,SAFE_DISABLED,0.1866,0.1816,-1.582,0.0,0.0,0
5958,SAFE_DISABLED,0.1866,0.1841,-1.582,0.0,0.0,0
6059,SAFE_DISABLED,0.1866,0.1857,-1.582,0.0,0.0,0
6159,SAFE_DISABLED,0.1866,0.1862,-1.582,0.0,0.0,0
6259,SAFE_DISABLED,0.1866,0.1864,-1.582,0.0,0.0,0
6359,SAFE_DISABLED,0.1866,0.1865,-1.582,0.0,0.0,0
6459,SAFE_DISABLED,0.1866,0.1865,-1.582,0.0,0.0,0
6559,SAFE_DISABLED,0.1866,0.1865,-1.582,0.0,0.0,0
6659,SAFE_DISABLED,0.1866,0.1866,-1.582,0.0,0.0,0
6759,SAFE_DISABLED,0.1866,0.1866,-1.582,0.0,0.0,0
