t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,test_phase
350,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
450,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
550,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
650,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
750,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
850,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
950,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
1050,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
1150,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
1250,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
1350,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
1451,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
1551,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
1651,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
1751,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
1851,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
1951,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
2051,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
2151,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
2251,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
2351,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
2451,SAFE_DISABLED,6.018,6.018,-4.5264,0.0,0.0,0,0.0,
