t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1.4941,18.2812,idle,
450,SAFE_DISABLED,-11.4565,-11.4565,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,1.4941,18.2812,idle,
550,SAFE_DISABLED,-11.4565,-11.4565,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,1.4941,18.2812,idle,
650,SAFE_DISABLED,-11.4565,-11.4565,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,1.4941,18.2812,idle,
750,SAFE_DISABLED,-11.5251,-11.4771,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,1.4941,18.2812,idle,
850,SAFE_DISABLED,-11.5251,-11.5016,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,1.4941,18.2812,idle,
950,SAFE_DISABLED,-11.5251,-11.5171,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,1.4941,18.2812,idle,
1050,SAFE_DISABLED,-11.5251,-11.5212,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,1.4941,18.2812,idle,
1150,SAFE_DISABLED,-11.5251,-11.5238,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,1.4941,18.2812,idle,
1250,SAFE_DISABLED,-11.5251,-11.5245,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,1.4941,18.2812,idle,
1350,SAFE_DISABLED,-11.5251,-11.5249,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,1.4941,18.2812,idle,
1451,SAFE_DISABLED,-11.5251,-11.525,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,1.4941,18.2812,idle,
1551,SAFE_DISABLED,-11.5251,-11.5251,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,1.4941,18.2812,idle,
1651,SAFE_DISABLED,-11.5251,-11.5251,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,1.4941,18.2812,idle,
1751,SAFE_DISABLED,-11.5251,-11.5251,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,1.4941,18.2812,idle,
1851,SAFE_DISABLED,-11.5251,-11.5251,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,1.4941,18.2812,idle,
1951,SAFE_DISABLED,-11.5251,-11.5251,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,1.4941,18.2812,idle,
2051,SAFE_DISABLED,-11.5251,-11.5251,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,1.4941,18.2812,idle,
2151,SAFE_DISABLED,-11.5251,-11.5251,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,1.4941,18.2812,idle,
2251,SAFE_DISABLED,-11.5251,-11.5251,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,1.4941,18.2812,idle,
2351,SAFE_DISABLED,-11.4565,-11.4801,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,1.4941,18.2812,idle,
2451,SAFE_DISABLED,-11.4565,-11.4681,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,1.4941,18.2812,idle,
2551,SAFE_DISABLED,-11.4565,-11.4605,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,1.4941,18.2812,idle,
2651,SAFE_DISABLED,-11.4565,-11.4585,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,1.4941,18.2812,idle,
2751,SAFE_DISABLED,-11.4565,-11.4572,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,1.4941,18.2812,idle,
2851,SAFE_DISABLED,-11.4565,-11.4569,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,1.4941,18.2812,idle,
2951,SAFE_DISABLED,-11.4565,-11.4567,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,1.4941,18.2812,idle,
3051,SAFE_DISABLED,-11.5251,-11.4916,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,1.4941,18.2812,idle,
3151,SAFE_DISABLED,-11.4565,-11.4686,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,1.4941,18.2812,idle,
3251,SAFE_DISABLED,-11.4565,-11.4624,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,1.4941,18.2812,idle,
3351,SAFE_DISABLED,-11.4565,-11.4586,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,1.4941,18.2812,idle,
