point_index,label,captured_at_iso,samples,mean_distance_cm,std_distance_cm,min_distance_cm,max_distance_cm,mean_raw_adc,std_raw_adc,min_raw_adc,max_raw_adc,mean_voltage_v,std_voltage_v,min_voltage_v,max_voltage_v
0,far_00,2026-03-13T12:20:02,25,23.4440,2.0733,16.5000,24.2000,254.6400,24.7704,246.0000,340.0000,1.2432,0.1209,1.2010,1.6600
1,pt_01,2026-03-13T12:20:21,25,22.5400,2.5604,14.7000,24.7000,264.6400,32.7565,242.0000,377.0000,1.2923,0.1600,1.1820,1.8410
2,pt_02,2026-03-13T12:20:26,25,22.5720,2.4079,14.6000,24.7000,263.8400,30.3695,242.0000,378.0000,1.2884,0.1483,1.1820,1.8460
3,pt_03,2026-03-13T12:20:32,25,23.8880,1.0663,19.0000,24.2000,249.2000,11.3798,246.0000,302.0000,1.2167,0.0557,1.2010,1.4750
4,pt_04,2026-03-13T12:20:38,25,22.4880,2.3653,15.0000,24.4000,264.5200,29.0676,244.0000,369.0000,1.2916,0.1419,1.1910,1.8020
5,pt_05,2026-03-13T12:20:44,25,22.6360,2.6195,14.7000,24.7000,264.0000,35.0131,242.0000,377.0000,1.2891,0.1710,1.1820,1.8410
6,pt_06,2026-03-13T12:21:12,25,22.7400,1.9664,17.5000,24.7000,261.0400,21.8317,242.0000,324.0000,1.2747,0.1066,1.1820,1.5820
7,pt_07,2026-03-13T12:21:19,25,23.3200,1.6505,17.5000,24.4000,254.9600,18.1876,244.0000,324.0000,1.2449,0.0888,1.1910,1.5820
8,pt_08,2026-03-13T12:21:31,25,19.7840,1.9570,13.9000,23.2000,294.7600,31.0554,255.0000,394.0000,1.4392,0.1517,1.2450,1.9240
9,pt_09,2026-03-13T12:21:42,25,16.9320,1.1919,12.8000,18.3000,334.7200,23.0841,312.0000,422.0000,1.6344,0.1128,1.5230,2.0610
10,pt_10,2026-03-13T12:21:53,25,15.3480,1.1655,11.9000,17.5000,364.2800,25.9447,324.0000,451.0000,1.7786,0.1267,1.5820,2.2020
11,pt_11,2026-03-13T12:22:00,25,13.9240,1.4825,10.8000,15.4000,397.4800,40.0771,361.0000,489.0000,1.9408,0.1958,1.7630,2.3880
12,pt_12,2026-03-13T12:22:06,25,10.1600,1.2891,8.0000,13.0000,521.4800,56.6077,418.0000,634.0000,2.5462,0.2764,2.0410,3.0960
13,pt_13,2026-03-13T12:22:21,25,9.7320,0.6650,8.6000,10.4000,536.3200,33.1621,507.0000,596.0000,2.6185,0.1621,2.4760,2.9100
14,pt_14,2026-03-13T12:22:32,25,7.6440,0.5485,6.6000,8.3000,658.6400,43.9032,610.0000,747.0000,3.2160,0.2144,2.9790,3.6470
15,pt_15,2026-03-13T12:22:55,25,9.9640,1.0688,8.0000,10.8000,528.4000,54.3469,489.0000,631.0000,2.5800,0.2655,2.3880,3.0810
16,pt_16,2026-03-13T12:23:02,25,8.1800,0.9941,7.2000,10.6000,626.0000,56.6142,496.0000,694.0000,3.0568,0.2765,2.4220,3.3890
17,pt_17,2026-03-13T12:23:09,25,8.4520,0.7107,6.7000,9.3000,605.9600,47.1845,554.0000,732.0000,2.9588,0.2303,2.7050,3.5740
18,pt_18,2026-03-13T12:23:15,25,9.8040,0.8914,8.2000,10.6000,534.7200,44.2215,496.0000,617.0000,2.6110,0.2159,2.4220,3.0130
