capture_index,point_direction,point_number,label,captured_at_iso,samples_requested,samples_captured,valid_samples,valid_fraction,mean_distance_cm,std_distance_cm,min_distance_cm,max_distance_cm,mean_raw_adc,std_raw_adc,min_raw_adc,max_raw_adc,mean_voltage_v,std_voltage_v,min_voltage_v,max_voltage_v
0,out,0,out_p00,2026-03-13T15:09:39,25,25,25,1.0000,21.2360,2.7892,14.3000,23.1000,279.6000,39.6358,256.0000,385.0000,1.3653,0.1935,1.2500,1.8800
1,out,1,out_p01,2026-03-13T15:09:47,25,25,25,1.0000,21.3360,2.7432,14.1000,23.5000,278.4800,39.3373,252.0000,390.0000,1.3598,0.1920,1.2300,1.9040
2,out,2,out_p02,2026-03-13T15:09:53,25,25,25,1.0000,21.5640,2.2996,15.3000,23.5000,274.4400,30.7084,252.0000,364.0000,1.3401,0.1500,1.2300,1.7770
3,out,3,out_p03,2026-03-13T15:10:00,25,25,25,1.0000,22.7080,1.8218,14.3000,23.2000,261.6000,26.2266,255.0000,385.0000,1.2772,0.1281,1.2450,1.8800
4,out,4,out_p04,2026-03-13T15:10:05,25,25,25,1.0000,20.9840,2.8060,13.7000,23.1000,282.7200,41.0361,256.0000,399.0000,1.3805,0.2003,1.2500,1.9480
5,out,5,out_p05,2026-03-13T15:10:44,25,25,25,1.0000,19.1680,2.6896,12.6000,21.3000,305.8000,46.6565,274.0000,428.0000,1.4931,0.2279,1.3380,2.0900
6,out,6,out_p06,2026-03-13T15:10:53,25,25,25,1.0000,19.5680,2.0962,13.7000,21.4000,298.0000,33.9092,273.0000,400.0000,1.4552,0.1656,1.3330,1.9530
7,out,7,out_p07,2026-03-13T15:10:59,25,25,25,1.0000,21.8880,0.1236,21.5000,22.0000,268.1200,1.2356,267.0000,272.0000,1.3095,0.0059,1.3040,1.3280
8,out,8,out_p08,2026-03-13T15:11:10,25,25,25,1.0000,17.7280,1.9627,12.0000,19.5000,324.3600,37.6319,296.0000,447.0000,1.5838,0.1838,1.4450,2.1830
9,out,9,out_p09,2026-03-13T15:11:15,25,25,25,1.0000,17.2280,1.4545,11.7000,19.3000,330.6800,29.6700,298.0000,456.0000,1.6146,0.1450,1.4550,2.2270
10,ret,9,ret_p09,2026-03-13T15:11:24,25,25,25,1.0000,14.5680,1.3162,10.6000,15.6000,381.8400,35.5501,358.0000,498.0000,1.8645,0.1736,1.7480,2.4320
11,ret,8,ret_p08,2026-03-13T15:11:30,25,25,25,1.0000,13.1680,0.9397,12.6000,15.6000,413.7600,22.1101,358.0000,429.0000,2.0206,0.1081,1.7480,2.0950
12,ret,7,ret_p07,2026-03-13T15:11:35,25,25,20,0.8000,11.1400,0.9075,10.1000,12.7000,500.3600,55.5074,426.0000,627.0000,2.4432,0.2711,2.0800,3.0620
13,ret,6,ret_p06,2026-03-13T15:11:38,25,25,4,0.1600,10.3500,0.1291,10.2000,10.5000,615.6400,62.4486,501.0000,754.0000,3.0061,0.3050,2.4460,3.6820
14,ret,5,ret_p05,2026-03-13T15:11:41,25,25,0,0.0000,,,,,682.4000,36.1513,655.0000,764.0000,3.3320,0.1765,3.1980,3.7300
15,ret,4,ret_p04,2026-03-13T15:11:45,25,25,17,0.6800,10.7118,1.0647,10.0000,14.8000,535.0800,70.6057,373.0000,672.0000,2.6128,0.3448,1.8210,3.2810
16,ret,3,ret_p03,2026-03-13T15:12:06,25,25,19,0.7600,10.4421,0.1924,10.0000,10.6000,526.1600,46.3561,498.0000,641.0000,2.5692,0.2263,2.4320,3.1300
17,ret,2,ret_p02,2026-03-13T15:12:09,25,25,4,0.1600,10.3750,0.2872,10.0000,10.6000,592.0000,50.6886,498.0000,730.0000,2.8906,0.2474,2.4320,3.5640
18,ret,1,ret_p01,2026-03-13T15:12:15,25,25,20,0.8000,10.5700,0.2812,10.0000,10.9000,516.5200,42.1180,484.0000,644.0000,2.5220,0.2058,2.3630,3.1450
