capture_index,point_direction,point_number,label,captured_at_iso,samples_requested,samples_captured,valid_samples,valid_fraction,mean_distance_cm,std_distance_cm,min_distance_cm,max_distance_cm,mean_pulse_us,std_pulse_us,min_pulse_us,max_pulse_us
0,out,0,out_p00,2026-03-13T15:21:18,25,25,23,0.9200,25.9478,0.2556,25.7200,26.6900,1506.0800,14.5199,1492.0000,1548.0000
1,out,1,out_p01,2026-03-13T15:21:24,25,25,20,0.8000,25.9650,0.2299,25.7200,26.2800,1505.6000,13.1656,1492.0000,1524.0000
2,out,2,out_p02,2026-03-13T15:21:33,25,25,24,0.9600,25.9942,0.2074,25.7900,26.2800,1508.0000,11.7189,1496.0000,1524.0000
3,out,3,out_p03,2026-03-13T15:21:44,25,25,23,0.9200,25.9904,0.2558,25.7900,26.6900,1508.4800,14.4831,1496.0000,1548.0000
4,out,4,out_p04,2026-03-13T15:21:47,25,25,20,0.8000,25.8145,0.1387,25.7200,26.2100,1497.9200,8.4947,1492.0000,1520.0000
5,out,5,out_p05,2026-03-13T15:21:51,25,25,20,0.8000,26.0475,0.8429,24.5500,27.1000,1516.6400,48.0094,1424.0000,1572.0000
6,out,6,out_p06,2026-03-13T15:21:54,25,25,19,0.7600,29.8237,17.0233,19.3800,99.0300,1672.9600,864.9888,1124.0000,5744.0000
7,out,7,out_p07,2026-03-13T15:22:02,25,25,19,0.7600,18.5837,2.1334,16.4800,24.1400,1084.1600,129.5401,956.0000,1400.0000
8,out,8,out_p08,2026-03-13T15:22:10,25,25,20,0.8000,15.7555,4.7710,10.0000,33.1000,881.4400,259.0956,580.0000,1920.0000
9,out,9,out_p09,2026-03-13T15:22:14,25,25,18,0.7200,10.3761,0.5219,9.5900,11.3100,605.7600,27.0821,556.0000,656.0000
10,ret,9,ret_p09,2026-03-13T15:22:34,25,25,24,0.9600,13.2496,21.2997,7.4500,113.1000,756.0000,1211.0205,432.0000,6560.0000
11,ret,8,ret_p08,2026-03-13T15:22:40,25,25,20,0.8000,7.0620,2.4557,4.2800,12.8300,414.7200,133.4952,248.0000,744.0000
12,ret,7,ret_p07,2026-03-13T15:22:44,25,25,21,0.8400,5.4495,0.7192,4.5500,7.6600,315.8400,38.9783,264.0000,444.0000
13,ret,6,ret_p06,2026-03-13T15:22:49,25,25,22,0.8800,6.8850,0.5875,5.3800,8.4800,401.9200,37.7380,312.0000,492.0000
14,ret,5,ret_p05,2026-03-13T15:22:54,25,25,21,0.8400,7.0167,0.3930,6.1400,8.2800,409.4400,25.4789,356.0000,480.0000
15,ret,4,ret_p04,2026-03-13T15:22:58,25,25,19,0.7600,10.1732,1.5309,7.9300,14.8300,589.4400,83.4177,460.0000,860.0000
16,ret,3,ret_p03,2026-03-13T15:23:01,25,25,20,0.8000,9.7230,2.0504,7.4500,15.3800,563.8400,111.4898,432.0000,892.0000
17,ret,2,ret_p02,2026-03-13T15:23:04,25,25,22,0.8800,12.3636,2.9884,8.2800,15.5900,720.4800,173.2717,480.0000,904.0000
18,ret,1,ret_p01,2026-03-13T15:23:08,25,25,20,0.8000,17.4440,4.5490,10.4800,29.1700,1010.5600,253.8527,608.0000,1692.0000
