capture_index,point_direction,point_number,label,captured_at_iso,samples_requested,samples_captured,valid_samples,valid_fraction,mean_distance_cm,median_distance_cm,std_distance_cm,min_distance_cm,max_distance_cm,mean_pulse_us,std_pulse_us,min_pulse_us,max_pulse_us
0,out,0,out_p00,2026-03-13T15:41:33,25,25,23,0.9200,25.3709,25.4500,0.1389,25.0300,25.4500,1471.8400,7.7011,1452.0000,1476.0000
1,out,1,out_p01,2026-03-13T15:41:48,25,25,24,0.9600,25.3262,25.3800,0.3248,24.9700,25.9300,1470.2400,19.8353,1448.0000,1504.0000
2,out,2,out_p02,2026-03-13T15:41:52,25,25,23,0.9200,25.4691,25.3800,0.2317,25.0300,25.8600,1477.7600,13.4700,1452.0000,1500.0000
3,out,3,out_p03,2026-03-13T15:41:55,25,25,24,0.9600,25.2721,25.3800,0.2467,24.9700,25.7900,1466.0800,14.2417,1448.0000,1496.0000
4,out,4,out_p04,2026-03-13T15:41:58,25,25,22,0.8800,25.3045,25.4500,0.4000,24.5500,25.8600,1465.6000,25.5865,1424.0000,1500.0000
5,out,5,out_p05,2026-03-13T15:42:02,25,25,24,0.9600,25.1612,24.9700,1.0975,23.3800,28.9000,1458.0800,62.5899,1356.0000,1676.0000
6,out,6,out_p06,2026-03-13T15:42:05,25,25,21,0.8400,20.9919,21.1700,4.3767,15.1700,26.6900,1238.5600,257.4202,880.0000,1548.0000
7,out,7,out_p07,2026-03-13T15:42:13,25,25,21,0.8400,17.3305,17.6600,0.6157,15.5200,18.1400,1007.3600,34.6926,900.0000,1052.0000
8,out,8,out_p08,2026-03-13T15:42:19,25,25,20,0.8000,18.2045,17.6250,3.0301,16.0000,30.6200,1051.2000,159.0933,928.0000,1776.0000
9,out,9,out_p09,2026-03-13T15:42:27,25,25,22,0.8800,13.7145,13.9650,2.0797,8.7600,17.1000,787.8400,128.0858,508.0000,992.0000
10,ret,9,ret_p09,2026-03-13T15:42:40,25,25,19,0.7600,10.5432,11.1000,1.8375,8.0000,15.5200,618.7200,117.7382,464.0000,900.0000
11,ret,8,ret_p08,2026-03-13T15:42:45,25,25,9,0.3600,8.9656,9.3100,0.6373,7.9300,9.7900,4355.8400,3755.9220,460.0000,8232.0000
12,ret,7,ret_p07,2026-03-13T15:42:48,25,25,20,0.8000,6.0340,4.8600,3.0131,4.0700,14.2100,581.7600,1239.8613,236.0000,6484.0000
13,ret,6,ret_p06,2026-03-13T15:42:54,25,25,7,0.2800,5.4300,5.5200,0.3470,4.9700,5.9300,5415.8400,3571.3944,288.0000,8012.0000
14,ret,5,ret_p05,2026-03-13T15:42:58,25,25,17,0.6800,9.0824,8.9700,1.3203,7.1000,12.0700,1394.2400,2430.3624,412.0000,8036.0000
15,ret,4,ret_p04,2026-03-13T15:43:01,25,25,19,0.7600,9.9742,10.0700,1.3900,7.9300,12.6200,1024.3200,1524.7500,460.0000,6260.0000
16,ret,3,ret_p03,2026-03-13T15:43:07,25,25,20,0.8000,11.9835,12.6550,1.0877,9.6600,13.1000,695.8400,60.5583,560.0000,760.0000
17,ret,2,ret_p02,2026-03-13T15:43:12,25,25,21,0.8400,16.3610,16.5500,4.2755,10.9700,31.9300,1320.4800,1328.6933,636.0000,6016.0000
18,ret,1,ret_p01,2026-03-13T15:43:21,25,25,19,0.7600,22.2374,22.2100,5.5594,15.2400,29.6600,1315.2000,313.0516,884.0000,1720.0000
