capture_index,point_direction,point_number,label,sample_index,captured_at_iso,raw_adc,voltage_v,distance_cm,valid_sample
0,out,0,out_p00,0,2026-03-13T15:55:24,271,1.3230,21.6000,1
0,out,0,out_p00,1,2026-03-13T15:55:24,270,1.3180,21.7000,1
0,out,0,out_p00,2,2026-03-13T15:55:24,268,1.3090,21.9000,1
0,out,0,out_p00,3,2026-03-13T15:55:24,408,1.9920,13.4000,1
0,out,0,out_p00,4,2026-03-13T15:55:24,325,1.5870,17.4000,1
0,out,0,out_p00,5,2026-03-13T15:55:24,292,1.4260,19.8000,1
0,out,0,out_p00,6,2026-03-13T15:55:24,279,1.3620,20.9000,1
0,out,0,out_p00,7,2026-03-13T15:55:24,274,1.3380,21.3000,1
0,out,0,out_p00,8,2026-03-13T15:55:24,271,1.3230,21.6000,1
0,out,0,out_p00,9,2026-03-13T15:55:24,269,1.3130,21.8000,1
0,out,0,out_p00,10,2026-03-13T15:55:24,267,1.3040,22.0000,1
0,out,0,out_p00,11,2026-03-13T15:55:24,430,2.1000,12.6000,1
0,out,0,out_p00,12,2026-03-13T15:55:24,306,1.4940,18.7000,1
0,out,0,out_p00,13,2026-03-13T15:55:24,285,1.3920,20.4000,1
0,out,0,out_p00,14,2026-03-13T15:55:24,277,1.3530,21.0000,1
0,out,0,out_p00,15,2026-03-13T15:55:24,272,1.3280,21.5000,1
0,out,0,out_p00,16,2026-03-13T15:55:24,270,1.3180,21.7000,1
0,out,0,out_p00,17,2026-03-13T15:55:24,269,1.3130,21.8000,1
0,out,0,out_p00,18,2026-03-13T15:55:24,265,1.2940,22.2000,1
0,out,0,out_p00,19,2026-03-13T15:55:24,450,2.1970,11.9000,1
0,out,0,out_p00,20,2026-03-13T15:55:24,303,1.4790,18.9000,1
0,out,0,out_p00,21,2026-03-13T15:55:24,284,1.3870,20.4000,1
0,out,0,out_p00,22,2026-03-13T15:55:24,275,1.3430,21.2000,1
0,out,0,out_p00,23,2026-03-13T15:55:24,272,1.3280,21.5000,1
0,out,0,out_p00,24,2026-03-13T15:55:24,270,1.3180,21.7000,1
1,out,1,out_p01,0,2026-03-13T15:55:30,275,1.3430,21.2000,1
1,out,1,out_p01,1,2026-03-13T15:55:30,272,1.3280,21.5000,1
1,out,1,out_p01,2,2026-03-13T15:55:30,270,1.3180,21.7000,1
1,out,1,out_p01,3,2026-03-13T15:55:30,269,1.3130,21.8000,1
1,out,1,out_p01,4,2026-03-13T15:55:30,376,1.8360,14.7000,1
1,out,1,out_p01,5,2026-03-13T15:55:30,337,1.6460,16.7000,1
1,out,1,out_p01,6,2026-03-13T15:55:30,299,1.4600,19.2000,1
1,out,1,out_p01,7,2026-03-13T15:55:30,282,1.3770,20.6000,1
1,out,1,out_p01,8,2026-03-13T15:55:30,275,1.3430,21.2000,1
1,out,1,out_p01,9,2026-03-13T15:55:30,271,1.3230,21.6000,1
1,out,1,out_p01,10,2026-03-13T15:55:30,270,1.3180,21.7000,1
1,out,1,out_p01,11,2026-03-13T15:55:30,268,1.3090,21.9000,1
1,out,1,out_p01,12,2026-03-13T15:55:30,268,1.3090,21.9000,1
1,out,1,out_p01,13,2026-03-13T15:55:30,268,1.3090,21.9000,1
1,out,1,out_p01,14,2026-03-13T15:55:30,268,1.3090,21.9000,1
1,out,1,out_p01,15,2026-03-13T15:55:30,268,1.3090,21.9000,1
1,out,1,out_p01,16,2026-03-13T15:55:30,268,1.3090,21.9000,1
1,out,1,out_p01,17,2026-03-13T15:55:30,268,1.3090,21.9000,1
1,out,1,out_p01,18,2026-03-13T15:55:30,268,1.3090,21.9000,1
1,out,1,out_p01,19,2026-03-13T15:55:30,268,1.3090,21.9000,1
1,out,1,out_p01,20,2026-03-13T15:55:30,267,1.3040,22.0000,1
1,out,1,out_p01,21,2026-03-13T15:55:30,268,1.3090,21.9000,1
1,out,1,out_p01,22,2026-03-13T15:55:30,268,1.3090,21.9000,1
1,out,1,out_p01,23,2026-03-13T15:55:30,268,1.3090,21.9000,1
1,out,1,out_p01,24,2026-03-13T15:55:30,268,1.3090,21.9000,1
