capture_index,point_direction,point_number,label,captured_at_iso,samples_requested,samples_captured,valid_samples,valid_fraction,mean_distance_cm,median_distance_cm,std_distance_cm,min_distance_cm,max_distance_cm,mean_raw_adc,std_raw_adc,min_raw_adc,max_raw_adc,mean_voltage_v,std_voltage_v,min_voltage_v,max_voltage_v
0,out,0,out_p00,2026-03-13T15:55:24,25,25,25,1.0000,19.9560,21.3000,3.0004,11.9000,22.2000,296.8800,52.2481,265.0000,450.0000,1.4496,0.2551,1.2940,2.1970
1,out,1,out_p01,2026-03-13T15:55:30,25,25,25,1.0000,21.1440,21.9000,1.7666,14.7000,22.0000,277.8800,25.2278,267.0000,376.0000,1.3570,0.1232,1.3040,1.8360
2,out,2,out_p02,2026-03-13T15:55:33,25,25,25,1.0000,19.5720,20.7000,3.1239,11.7000,22.0000,302.5600,55.7375,267.0000,457.0000,1.4773,0.2721,1.3040,2.2310
3,out,3,out_p03,2026-03-13T15:55:36,25,25,25,1.0000,17.8280,19.0000,2.5121,10.9000,19.9000,325.6000,51.7462,290.0000,484.0000,1.5898,0.2527,1.4160,2.3630
4,out,4,out_p04,2026-03-13T15:55:40,25,25,25,1.0000,20.0280,21.2000,2.5675,12.6000,22.2000,293.6800,41.1711,265.0000,428.0000,1.4339,0.2011,1.2940,2.0900
5,out,5,out_p05,2026-03-13T15:55:43,25,25,25,1.0000,18.7280,19.8000,2.7150,11.8000,21.0000,312.4400,49.5648,277.0000,455.0000,1.5255,0.2420,1.3530,2.2220
6,out,6,out_p06,2026-03-13T15:55:49,25,25,25,1.0000,21.4160,21.5000,0.1930,21.1000,21.6000,272.8400,1.9296,271.0000,276.0000,1.3322,0.0096,1.3230,1.3480
7,out,7,out_p07,2026-03-13T15:55:52,25,25,25,1.0000,18.1800,19.2000,2.6437,11.5000,20.6000,320.5600,51.8355,282.0000,464.0000,1.5653,0.2531,1.3770,2.2660
8,out,8,out_p08,2026-03-13T15:55:56,25,25,25,1.0000,17.7000,19.1000,2.7689,11.4000,20.0000,328.7600,55.0736,289.0000,468.0000,1.6053,0.2688,1.4110,2.2850
9,out,9,out_p09,2026-03-13T15:56:10,25,25,25,1.0000,15.6840,16.6000,1.9987,10.4000,17.3000,361.4800,49.3467,328.0000,504.0000,1.7651,0.2410,1.6020,2.4610
10,ret,9,ret_p09,2026-03-13T15:56:18,25,25,25,1.0000,15.8920,16.6000,1.8641,10.3000,17.4000,356.9200,47.5350,326.0000,509.0000,1.7428,0.2321,1.5920,2.4850
11,ret,8,ret_p08,2026-03-13T15:56:21,25,25,25,1.0000,14.5920,14.5000,0.1077,14.5000,14.8000,379.0400,2.3180,373.0000,381.0000,1.8506,0.0111,1.8210,1.8600
12,ret,7,ret_p07,2026-03-13T15:56:24,25,25,22,0.8800,14.0318,14.2500,0.6527,12.4000,14.7000,411.0000,55.0810,376.0000,560.0000,2.0068,0.2689,1.8360,2.7340
13,ret,6,ret_p06,2026-03-13T15:56:28,25,25,6,0.2400,11.6167,11.9000,0.8495,10.1000,12.4000,573.0400,73.7041,435.0000,697.0000,2.7978,0.3599,2.1240,3.4030
14,ret,5,ret_p05,2026-03-13T15:56:31,25,25,0,0.0000,,,,,,709.6800,31.1511,687.0000,786.0000,3.4652,0.1522,3.3540,3.8380
15,ret,4,ret_p04,2026-03-13T15:56:34,25,25,0,0.0000,,,,,,668.4800,47.4905,626.0000,791.0000,3.2642,0.2319,3.0570,3.8620
16,ret,3,ret_p03,2026-03-13T15:56:37,25,25,0,0.0000,,,,,,657.4800,42.6108,626.0000,766.0000,3.2104,0.2080,3.0570,3.7400
17,ret,2,ret_p02,2026-03-13T15:56:40,25,25,0,0.0000,,,,,,623.2400,56.2245,581.0000,760.0000,3.0432,0.2745,2.8370,3.7110
18,ret,1,ret_p01,2026-03-13T15:56:45,25,25,23,0.9200,11.3087,11.4000,0.3059,10.6000,11.6000,484.2800,48.9460,461.0000,643.0000,2.3647,0.2391,2.2510,3.1400
