# -- Ball-and-Beam HC-SR04 + AS5600 Controller --
# HC-SR04 TRIG/ECHO = D8/D9
# AS5600 addr = 0x36
# POSITION_CALIBRATED = NO
# D_MIN/D_MAX/setpoint = 2.00, 35.00, 14.10
# theta = 0.07666807 * as5600 + -23.28443908
# theta_balance_deg = 0.00000
# theta cal safe range = [-0.60, 3.00] deg
# outer Kp/Kv/sign = 0.1200, 0.0800, -1
# inner Kp/steps_per_beam_deg/step_sign = 0.700, 115.94, -1
# mode = M0  driver = DISABLED
# telemetry stream = OFF
# Commands: G X M0 M1 M2 A<deg> Z S<cm> Y P<float> V<float> R H O T C ?
# ------------------------------------------------
t_ms,mode,valid,d_raw_cm,d_filt_cm,x_cm,x_dot_cm_s,theta_cal_deg,theta_rel_deg,theta_dot_deg_s,theta_cmd_rel_deg,outer_sign,step_delta,invalid_count
# Telemetry stream ON
5468,0,0,-1.00,14.10,0.000,0.000,0.9199,0.9199,-0.013,0.0000,-1,0,137
6466,0,0,-1.00,14.10,0.000,0.000,0.9199,0.9199,-0.028,0.0000,-1,0,162
# outer Kv -> 0.00000
7467,0,0,-1.00,14.10,0.000,0.000,0.9199,0.9199,-0.028,0.0000,-1,0,187
# ERR: unknown command
8466,0,0,-1.00,14.10,0.000,0.000,0.9199,0.9199,-0.027,0.0000,-1,0,212
9468,0,0,-1.00,14.10,0.000,0.000,0.9199,0.9199,-0.006,0.0000,-1,0,237
# ERR: setpoint must be in [2.0, 35.0] cm
10466,0,0,-1.00,14.10,0.000,0.000,0.9199,0.9199,-0.007,0.0000,-1,0,255
# ERR: unknown command
11466,0,0,-1.00,14.10,0.000,0.000,0.9266,0.9266,0.043,0.0000,-1,0,255
12466,0,0,-1.00,14.10,0.000,0.000,0.9199,0.9199,-0.001,0.0000,-1,0,255
13468,0,0,-1.00,14.10,0.000,0.000,0.9199,0.9199,-0.006,0.0000,-1,0,255
14469,0,0,-1.00,14.52,0.421,0.000,0.9266,0.9266,0.041,0.0000,-1,0,1
15466,0,0,-1.00,14.52,0.421,0.000,0.9266,0.9266,0.028,0.0000,-1,0,26
16466,0,0,-1.00,14.52,0.421,0.000,0.9266,0.9266,0.035,0.0000,-1,0,51
17466,0,0,-1.00,14.52,0.421,0.000,0.9199,0.9199,-0.028,0.0000,-1,0,76
18464,0,1,14.92,14.90,0.802,0.075,0.9199,0.9199,-0.019,0.0000,-1,0,0
19464,0,1,14.49,14.27,0.170,0.059,0.9199,0.9199,-0.014,0.0000,-1,0,0
20468,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.023,0.0000,-1,0,15
21466,0,0,-1.00,14.38,0.277,0.000,0.9266,0.9266,0.032,0.0000,-1,0,40
22466,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.019,0.0000,-1,0,65
23467,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.016,0.0000,-1,0,90
24468,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.020,0.0000,-1,0,115
25466,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.015,0.0000,-1,0,140
26466,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.001,0.0000,-1,0,165
27466,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.037,0.0000,-1,0,190
28468,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.000,0.0000,-1,0,215
29466,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.007,0.0000,-1,0,240
30467,0,0,-1.00,14.38,0.277,0.000,0.9266,0.9266,0.014,0.0000,-1,0,255
31466,0,0,-1.00,14.38,0.277,0.000,0.9266,0.9266,0.031,0.0000,-1,0,255
32468,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.013,0.0000,-1,0,255
33466,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.001,0.0000,-1,0,255
34466,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.020,0.0000,-1,0,255
35466,0,0,-1.00,14.38,0.277,0.000,0.9266,0.9266,0.018,0.0000,-1,0,255
36468,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.007,0.0000,-1,0,255
37466,0,0,-1.00,14.38,0.277,0.000,0.9266,0.9266,0.034,0.0000,-1,0,255
38466,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.006,0.0000,-1,0,255
# ERR: unknown command
39467,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.002,0.0000,-1,0,255
40468,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.019,0.0000,-1,0,255
# ERR: unknown command
41466,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.016,0.0000,-1,0,255
# Dynamic state reset
42466,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.016,0.0000,-1,0,255
43466,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.042,0.0000,-1,0,255
44468,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.027,0.0000,-1,0,255
45466,0,0,-1.00,14.38,0.277,0.000,0.9266,0.9266,0.026,0.0000,-1,0,255
46467,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.009,0.0000,-1,0,255
47466,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.013,0.0000,-1,0,255
48468,0,0,-1.00,14.38,0.277,0.000,0.9199,0.9199,-0.010,0.0000,-1,0,255
# ERR: unknown command
