run_stem,sensor_name,target_name,block_label,repeat_index,point_number,score_metric,out_label,ret_label,out_mean_cm,ret_mean_cm,out_score_cm,ret_score_cm,out_std_cm,ret_std_cm,out_valid_fraction,ret_valid_fraction,paired_mean_cm,roundtrip_mismatch_cm,basic_reliable,edge_ok_prev,edge_ok_next,final_reliable
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,1,median,out_p01,ret_p01,25.3262,22.2374,25.3800,22.2100,0.3248,5.5594,0.9600,0.7600,23.7950,3.1700,0,1,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,2,median,out_p02,ret_p02,25.4691,16.3610,25.3800,16.5500,0.2317,4.2755,0.9200,0.8400,20.9650,8.8300,0,1,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,3,median,out_p03,ret_p03,25.2721,11.9835,25.3800,12.6550,0.2467,1.0877,0.9600,0.8000,19.0175,12.7250,0,1,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,4,median,out_p04,ret_p04,25.3045,9.9742,25.4500,10.0700,0.4000,1.3900,0.8800,0.7600,17.7600,15.3800,0,1,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,5,median,out_p05,ret_p05,25.1612,9.0824,24.9700,8.9700,1.0975,1.3203,0.9600,0.6800,16.9700,16.0000,0,1,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,6,median,out_p06,ret_p06,20.9919,5.4300,21.1700,5.5200,4.3767,0.3470,0.8400,0.2800,13.3450,15.6500,0,1,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,7,median,out_p07,ret_p07,17.3305,6.0340,17.6600,4.8600,0.6157,3.0131,0.8400,0.8000,11.2600,12.8000,0,1,0,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,8,median,out_p08,ret_p08,18.2045,8.9656,17.6250,9.3100,3.0301,0.6373,0.8000,0.3600,13.4675,8.3150,0,0,1,0
run_20260313_154115,hcsr04_debug,table_tennis_40mm,pcint_nostress,1,9,median,out_p09,ret_p09,13.7145,10.5432,13.9650,11.1000,2.0797,1.8375,0.8800,0.7600,12.5325,2.8650,0,1,1,0
run_20260313_154352,hcsr04_debug,table_tennis_40mm,pulsein_nostress,1,1,median,out_p01,ret_p01,26.0696,14.4992,26.0300,15.4700,0.3084,2.3150,1.0000,1.0000,20.7500,10.5600,0,1,0,0
run_20260313_154352,hcsr04_debug,table_tennis_40mm,pulsein_nostress,1,2,median,out_p02,ret_p02,27.1405,15.0612,27.6000,15.4500,1.1538,2.4349,0.8400,1.0000,21.5250,12.1500,0,0,1,0
