run_stem,sensor_name,target_name,block_label,repeat_index,point_number,out_label,ret_label,out_mean_cm,ret_mean_cm,out_std_cm,ret_std_cm,out_valid_fraction,ret_valid_fraction,paired_mean_cm,roundtrip_mismatch_cm,basic_reliable,edge_ok_prev,edge_ok_next,final_reliable
run_20260313_150501,sharp,table_tennis_40mm,sharp_block,1,0,out_p00,ret_p00,22.8920,10.5000,1.7607,0.1563,1.0000,0.7600,16.6960,12.3920,0,1,0,0
run_20260313_150501,sharp,table_tennis_40mm,sharp_block,1,1,out_p01,ret_p01,22.6480,,2.4539,,1.0000,0.0000,,,0,0,0,0
run_20260313_150501,sharp,table_tennis_40mm,sharp_block,1,2,out_p02,ret_p02,21.7720,10.6250,3.1147,0.0957,1.0000,0.1600,16.1985,11.1470,0,0,0,0
run_20260313_150501,sharp,table_tennis_40mm,sharp_block,1,3,out_p03,ret_p03,22.2240,10.5211,2.9309,0.2016,1.0000,0.7600,16.3726,11.7029,0,0,0,0
run_20260313_150501,sharp,table_tennis_40mm,sharp_block,1,4,out_p04,ret_p04,21.7840,10.7000,3.0242,0.0000,1.0000,0.8800,16.2420,11.0840,0,0,0,0
run_20260313_150501,sharp,table_tennis_40mm,sharp_block,1,5,out_p05,ret_p05,23.4440,,1.7438,,1.0000,0.0000,,,0,0,0,0
run_20260313_150501,sharp,table_tennis_40mm,sharp_block,1,6,out_p06,ret_p06,21.8440,11.1000,3.1702,0.0000,1.0000,0.0800,16.4720,10.7440,0,0,0,0
run_20260313_150501,sharp,table_tennis_40mm,sharp_block,1,7,out_p07,ret_p07,20.9720,11.3750,2.4394,0.6124,1.0000,0.9600,16.1735,9.5970,0,0,0,0
run_20260313_150501,sharp,table_tennis_40mm,sharp_block,1,8,out_p08,ret_p08,18.4880,12.5773,1.9831,0.9242,1.0000,0.8800,15.5327,5.9107,0,0,0,0
run_20260313_150501,sharp,table_tennis_40mm,sharp_block,1,9,out_p09,ret_p09,18.0640,14.3480,0.8568,1.5799,1.0000,1.0000,16.2060,3.7160,0,0,1,0
run_20260313_150931,sharp,table_tennis_40mm,sharp_block,2,1,out_p01,ret_p01,21.3360,10.5700,2.7432,0.2812,1.0000,0.8000,15.9530,10.7660,0,1,0,0
run_20260313_150931,sharp,table_tennis_40mm,sharp_block,2,2,out_p02,ret_p02,21.5640,10.3750,2.2996,0.2872,1.0000,0.1600,15.9695,11.1890,0,0,0,0
run_20260313_150931,sharp,table_tennis_40mm,sharp_block,2,3,out_p03,ret_p03,22.7080,10.4421,1.8218,0.1924,1.0000,0.7600,16.5750,12.2659,0,0,0,0
run_20260313_150931,sharp,table_tennis_40mm,sharp_block,2,4,out_p04,ret_p04,20.9840,10.7118,2.8060,1.0647,1.0000,0.6800,15.8479,10.2722,0,0,0,0
run_20260313_150931,sharp,table_tennis_40mm,sharp_block,2,5,out_p05,ret_p05,19.1680,,2.6896,,1.0000,0.0000,,,0,0,0,0
run_20260313_150931,sharp,table_tennis_40mm,sharp_block,2,6,out_p06,ret_p06,19.5680,10.3500,2.0962,0.1291,1.0000,0.1600,14.9590,9.2180,0,0,0,0
run_20260313_150931,sharp,table_tennis_40mm,sharp_block,2,7,out_p07,ret_p07,21.8880,11.1400,0.1236,0.9075,1.0000,0.8000,16.5140,10.7480,0,0,1,0
