run_stem,sensor_name,target_name,block_label,repeat_index,point_number,score_metric,out_label,ret_label,out_mean_cm,ret_mean_cm,out_score_cm,ret_score_cm,out_std_cm,ret_std_cm,out_valid_fraction,ret_valid_fraction,paired_mean_cm,roundtrip_mismatch_cm,basic_reliable,edge_ok_prev,edge_ok_next,final_reliable
run_20260313_155332,sharp,table_tennis_40mm,sharp_retry,1,1,median,out_p01,ret_p01,22.3600,,22.4000,,0.0500,,1.0000,0.0000,,,0,1,0,0
run_20260313_155332,sharp,table_tennis_40mm,sharp_retry,1,2,median,out_p02,ret_p02,20.1680,,21.6000,,2.8828,,1.0000,0.0000,,,0,0,0,0
run_20260313_155332,sharp,table_tennis_40mm,sharp_retry,1,3,median,out_p03,ret_p03,20.2520,,21.6000,,3.1727,,1.0000,0.0000,,,0,0,0,0
run_20260313_155332,sharp,table_tennis_40mm,sharp_retry,1,4,median,out_p04,ret_p04,19.7160,,21.3000,,3.3473,,1.0000,0.0000,,,0,0,0,0
run_20260313_155332,sharp,table_tennis_40mm,sharp_retry,1,5,median,out_p05,ret_p05,20.2360,,21.7000,,3.1594,,1.0000,0.0000,,,0,0,0,0
run_20260313_155332,sharp,table_tennis_40mm,sharp_retry,1,6,median,out_p06,ret_p06,20.7760,11.3400,20.8000,11.4000,1.1889,0.0894,1.0000,0.2000,16.1000,9.4000,0,0,1,0
run_20260313_155332,sharp,table_tennis_40mm,sharp_retry,1,7,median,out_p07,ret_p07,19.7160,12.8200,21.1000,12.9000,3.0320,1.1597,1.0000,1.0000,17.0000,8.2000,0,1,0,0
run_20260313_155332,sharp,table_tennis_40mm,sharp_retry,1,8,median,out_p08,ret_p08,19.1760,13.2522,20.6000,13.6000,2.8078,0.9510,1.0000,0.9200,17.1000,7.0000,0,0,0,0
run_20260313_155332,sharp,table_tennis_40mm,sharp_retry,1,9,median,out_p09,ret_p09,16.7040,17.1320,17.6000,16.8000,2.2246,0.7782,1.0000,1.0000,17.2000,0.8000,0,0,1,0
run_20260313_155519,sharp,table_tennis_40mm,sharp_retry,2,1,median,out_p01,ret_p01,21.1440,11.3087,21.9000,11.4000,1.7666,0.3059,1.0000,0.9200,16.6500,10.5000,0,1,0,0
run_20260313_155519,sharp,table_tennis_40mm,sharp_retry,2,2,median,out_p02,ret_p02,19.5720,,20.7000,,3.1239,,1.0000,0.0000,,,0,0,0,0
run_20260313_155519,sharp,table_tennis_40mm,sharp_retry,2,3,median,out_p03,ret_p03,17.8280,,19.0000,,2.5121,,1.0000,0.0000,,,0,0,0,0
run_20260313_155519,sharp,table_tennis_40mm,sharp_retry,2,4,median,out_p04,ret_p04,20.0280,,21.2000,,2.5675,,1.0000,0.0000,,,0,0,0,0
run_20260313_155519,sharp,table_tennis_40mm,sharp_retry,2,5,median,out_p05,ret_p05,18.7280,,19.8000,,2.7150,,1.0000,0.0000,,,0,0,0,0
run_20260313_155519,sharp,table_tennis_40mm,sharp_retry,2,6,median,out_p06,ret_p06,21.4160,11.6167,21.5000,11.9000,0.1930,0.8495,1.0000,0.2400,16.7000,9.6000,0,0,0,0
run_20260313_155519,sharp,table_tennis_40mm,sharp_retry,2,7,median,out_p07,ret_p07,18.1800,14.0318,19.2000,14.2500,2.6437,0.6527,1.0000,0.8800,16.7250,4.9500,0,0,0,0
run_20260313_155519,sharp,table_tennis_40mm,sharp_retry,2,8,median,out_p08,ret_p08,17.7000,14.5920,19.1000,14.5000,2.7689,0.1077,1.0000,1.0000,16.8000,4.6000,0,0,0,0
run_20260313_155519,sharp,table_tennis_40mm,sharp_retry,2,9,median,out_p09,ret_p09,15.6840,15.8920,16.6000,16.6000,1.9987,1.8641,1.0000,1.0000,16.6000,0.0000,0,0,1,0
