t_s,x_m,x_hat_m,d_meas_m,theta_deg,theta_hat_deg,phi_deg,phi_cmd_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.340283569641367481e-04,-2.136947681946632467e-07,-2.136947681863343718e-07,1.999997863052318248e-01,8.874889090290950236e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.668056713928273496e-03,-8.434866054793192797e-07,-8.434866054785050693e-07,1.999991565133945326e-01,3.504282917147321253e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.502085070892410244e-03,-1.872677361256895372e-06,-1.872677361264285523e-06,1.999981273226387468e-01,7.783291670359245885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.336113427856546992e-03,-3.284884205737879488e-06,-3.284884205728699769e-06,1.999967151157942824e-01,1.365926897331082995e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.170141784820683740e-03,-5.064032534012878068e-06,-5.064032534002338437e-06,1.999949359674660088e-01,2.106874939423385856e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.004170141784820489e-03,-7.194353515840466043e-06,-7.194353515843632252e-06,1.999928056464841675e-01,2.995002852404055754e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.838198498748957237e-03,-9.660383431973711393e-06,-9.660383431975283486e-06,1.999903396165680358e-01,4.024315877737412450e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.672226855713093985e-03,-1.244695130146512004e-05,-1.244695130145356821e-05,1.999875530486985575e-01,5.188984178180942181e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.506255212677230733e-03,-1.553917589549348789e-05,-1.553917589550146694e-05,1.999844608241045096e-01,6.483340261726285025e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.340283569641367481e-03,-1.892246325537097661e-05,-1.892246325538304852e-05,1.999810775367446281e-01,7.901877116494829267e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.174311926605505096e-03,-2.258250687629883254e-05,-2.258250687631191411e-05,1.999774174931236992e-01,9.439248587809291602e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000834028356964098e-02,-2.650527591283485771e-05,-2.650527591283036166e-05,1.999734947240871807e-01,1.109025938655922999e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
